Language,Wiki,Articles,Speakers,Admins,Active Users
Chinese,zh,"898,572","1,197,294,060",82,6669
English,en,"5,230,219","505,000,000",1294,114593
Simple English,simple,"120,644","505,000,000",18,629
Spanish,es,"1,281,007","470,000,000",71,15094
Hindi,hi,"107,108","260,333,620",4,543
Arabic,ar,"441,142","236,748,330",34,3689
Portuguese,pt,"935,247","220,000,000",69,6256
Bengali,bn,"44,011","193,261,200",17,598
Russian,ru,"1,339,137","167,332,230",90,9778
Japanese,ja,"1,028,912","125,000,000",49,12325
Javanese,jv,"49,478","84,308,740",7,86
German,de,"1,974,244","78,245,280",213,18029
Korean,ko,"358,516","77,166,230",32,2613
French,fr,"1,789,953","74,980,460",161,14176
Telugu,te,"65,282","74,049,000",16,207
Vietnamese,vi,"1,148,353","73,600,000",23,1347
Persian,fa,"503,759","72,279,286",32,3208
Marathi,mr,"44,370","71,780,660",10,103
Turkish,tr,"280,705","70,805,930",27,3294
Tamil,ta,"88,382","68,763,360",37,268
Urdu,ur,"107,370","63,948,800",13,192
Italian,it,"1,299,631","63,655,047",111,7276
Western Punjabi,pnb,"42,057","62,613,000",3,41
Cantonese,zh-yue,"46,890","62,221,560",8,166
Egyptian Arabic,arz,"15,353","53,990,000",6,74
Gujarati,gu,"26,497","46,636,510",4,80
Min Nan,zh-min-nan,"181,098","46,619,500",5,80
Polish,pl,"1,182,850","38,663,780",112,3740
Kannada,kn,"20,825","37,739,040",4,323
Ukrainian,uk,"650,628","36,048,890",44,2055
Sundanese,su,"19,130","34,000,000",7,40
Malayalam,ml,"44,605","33,550,900",18,295
Oriya,or,"10,877","33,000,000",4,79
Burmese,my,"33,142","32,035,300",5,111
Kurdish,ku,"22,235","29,960,890",3,65
Punjabi,pa,"23,187","29,514,770",5,113
Tagalog,tl,"65,342","24,245,200",13,106
Azerbaijani,az,"108,322","24,237,340",13,456
Romanian,ro,"371,469","23,782,990",20,774
Indonesian,id,"384,989","23,200,480",29,2083
Dutch,nl,"1,873,240","21,944,690",49,3647
Uzbek,uz,"128,697","21,930,230",7,83
Amharic,am,"13,141","21,811,600",3,29
Thai,th,"110,241","20,396,930",15,867
Yoruba,yo,"31,442","19,380,800",1,34
Malagasy,mg,"82,707","18,000,000",3,36
Serbo-Croatian,sh,"434,814","17,057,286",10,227
Nepali,ne,"27,974","16,148,100",10,114
Malay,ms,"284,837","15,848,500",16,367
Cebuano,ceb,"2,831,385","15,810,000",4,118
Sinhalese,si,"12,433","15,579,980",2,75
Swahili,sw,"34,107","15,457,390",9,72
Bavarian,bar,"20,980","14,089,000",6,67
Greek,el,"121,531","13,432,940",20,805
Hungarian,hu,"395,111","12,606,130",33,1602
Banyumasan,map-bms,"13,220","12,000,000",2,17
Czech,cs,"362,552","10,619,340",27,1707
Swedish,sv,"3,399,696","9,197,090",67,2282
Serbian,sr,"338,184","8,957,906",17,699
