State,Year,Population
Alabama,1960,3266740
Alabama,1961,3302000
Alabama,1962,3358000
Alabama,1963,3347000
Alabama,1964,3407000
Alabama,1965,3462000
Alabama,1966,3517000
Alabama,1967,3540000
Alabama,1968,3566000
Alabama,1969,3531000
Alabama,1970,3444165
Alabama,1971,3479000
Alabama,1972,3510000
Alabama,1973,3539000
Alabama,1974,3577000
Alabama,1975,3614000
Alabama,1976,3665000
Alabama,1977,3690000
Alabama,1978,3742000
Alabama,1979,3769000
Alabama,1980,3861466
Alabama,1981,3916000
Alabama,1982,3943000
Alabama,1983,3959000
Alabama,1984,3990000
Alabama,1985,4021000
Alabama,1986,4053000
Alabama,1987,4083000
Alabama,1988,4127000
Alabama,1989,4118000
Alabama,1990,4040587
Alabama,1991,4089000
Alabama,1992,4136000
Alabama,1993,4187000
Alabama,1994,4219000
Alabama,1995,4253000
Alabama,1996,4273000
Alabama,1997,4319000
Alabama,1998,4352000
Alabama,1999,4369862
Alabama,2000,4447100
Alabama,2001,4468912
Alabama,2002,4478896
Alabama,2003,4503726
Alabama,2004,4525375
Alabama,2005,4548327
Alabama,2006,4599030
Alabama,2007,4627851
Alabama,2008,4661900
Alabama,2009,4708708
Alabama,2010,4785401
Alabama,2011,4803689
Alabama,2012,4822023
Alaska,1960,226167
Alaska,1961,234000
Alaska,1962,246000
Alaska,1963,248000
Alaska,1964,250000
Alaska,1965,253000
Alaska,1966,272000
Alaska,1967,272000
Alaska,1968,277000
Alaska,1969,282000
Alaska,1970,302173
Alaska,1971,313000
Alaska,1972,325000
Alaska,1973,330000
Alaska,1974,337000
Alaska,1975,352000
Alaska,1976,382000
Alaska,1977,407000
Alaska,1978,403000
Alaska,1979,406000
Alaska,1980,440142
Alaska,1981,412000
Alaska,1982,438000
Alaska,1983,479000
Alaska,1984,500000
Alaska,1985,521000
Alaska,1986,534000
Alaska,1987,525000
Alaska,1988,513000
Alaska,1989,527000
Alaska,1990,550043
Alaska,1991,570000
Alaska,1992,587000
Alaska,1993,599000
Alaska,1994,606000
Alaska,1995,604000
Alaska,1996,607000
Alaska,1997,609000
Alaska,1998,614000
Alaska,1999,619500
Alaska,2000,626932
Alaska,2001,633630
Alaska,2002,641482
Alaska,2003,648280
Alaska,2004,657755
Alaska,2005,663253
Alaska,2006,670053
Alaska,2007,683478
Alaska,2008,686293
Alaska,2009,698473
Alaska,2010,714146
Alaska,2011,723860
Alaska,2012,731449
Arizona,1960,1302161
Arizona,1961,1391000
Arizona,1962,1509000
Arizona,1963,1559000
Arizona,1964,1581000
Arizona,1965,1608000
Arizona,1966,1618000
Arizona,1967,1634000
Arizona,1968,1670000
Arizona,1969,1693000
Arizona,1970,1772482
Arizona,1971,1849000
Arizona,1972,1945000
Arizona,1973,2058000
Arizona,1974,2153000
Arizona,1975,2224000
Arizona,1976,2270000
Arizona,1977,2296000
Arizona,1978,2354000
Arizona,1979,2450000
Arizona,1980,2715357
Arizona,1981,2793000
Arizona,1982,2860000
Arizona,1983,2963000
Arizona,1984,3053000
Arizona,1985,3187000
Arizona,1986,3317000
Arizona,1987,3386000
Arizona,1988,3466000
Arizona,1989,3556000
Arizona,1990,3665228
Arizona,1991,3750000
Arizona,1992,3832000
Arizona,1993,3936000
Arizona,1994,4075000
Arizona,1995,4218000
Arizona,1996,4428000
Arizona,1997,4555000
Arizona,1998,4669000
Arizona,1999,4778332
Arizona,2000,5130632
Arizona,2001,5306966
Arizona,2002,5441125
Arizona,2003,5579222
Arizona,2004,5739879
Arizona,2005,5953007
Arizona,2006,6166318
Arizona,2007,6338755
Arizona,2008,6500180
Arizona,2009,6595778
Arizona,2010,6413158
Arizona,2011,6467315
Arizona,2012,6553255
Arkansas,1960,1786272
Arkansas,1961,1797000
Arkansas,1962,1823000
Arkansas,1963,1858000
Arkansas,1964,1933000
Arkansas,1965,1960000
Arkansas,1966,1955000
Arkansas,1967,1968000
Arkansas,1968,2012000
Arkansas,1969,1995000
Arkansas,1970,1923295
Arkansas,1971,1944000
Arkansas,1972,1978000
Arkansas,1973,2037000
Arkansas,1974,2062000
Arkansas,1975,2116000
Arkansas,1976,2109000
Arkansas,1977,2144000
Arkansas,1978,2186000
Arkansas,1979,2180000
Arkansas,1980,2284037
Arkansas,1981,2294000
Arkansas,1982,2291000
Arkansas,1983,2328000
Arkansas,1984,2349000
Arkansas,1985,2359000
Arkansas,1986,2372000
Arkansas,1987,2388000
Arkansas,1988,2422000
Arkansas,1989,2406000
Arkansas,1990,2350725
